Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Thornplate,Block [shield]<d6> damage|Gain [thorns]1 thorns,1,inflictself(SHIELD[;] d); inflictself(THORNS[;] 1);,Protection,MAX3,,ORANGE,change_power,change_power,,_shield,0,YES,NO,,,,,,,,,,,,,
Thornplate_upgraded,Block [shield]<d6> damage|Gain [thorns]2 thorns,1,inflictself(SHIELD[;] d); inflictself(THORNS[;] 2);,Protection,MAX3,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Thornplate_downgraded,Block [shield]<d6> damage,1,inflictself(SHIELD[;] d);,Protection,MAX3,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Energy Drink,Boost Limit Break|by 75%,1,if (!simulation) {self.limitvalue += self.limitmax * 0.75; if (self.limitvalue > self.limitmax) self.limitvalue = self.limitmax;} else bonus(-1000);,Focus,COUNTDOWN,12,YELLOW,change_power,change_power,,_cure,0,YES,NO,,1,,,,,,,,,,,
Energy Drink_upgraded,Gain Limit Break,1,if (!simulation) {self.limitvalue = self.limitmax;} else bonus(-1000);,Focus,COUNTDOWN,12,YELLOW,,,,_cure,0,YES,NO,,,,,,,,,,,,,
Energy Drink_downgraded,Boost Limit Break|by 50%,1,if (!simulation) {self.limitvalue += self.limitmax * 0.5; if (self.limitvalue > self.limitmax) self.limitvalue = self.limitmax;} else bonus(-1000);,Focus,COUNTDOWN,12,YELLOW,,,,_cure,0,YES,NO,,,,,,,,,,,,,
Time Skip,Get an extra turn[;] but|disable your weapons,1,inflictself(EXTRATURN); if (!simulation) {var weapons = []; if (~~ + self.layout == ~EQUIPMENT~) weapons = runscript(~megaquest/getequipmentbycategory~[;] [~weapon~[;] self.equipment]); weapons.push(e); if (weapons.length > 0) for (weapon in weapons) {weapon.availablethisturn = false; weapon.availablenextturn = false; weapon.unavailabletext = weapon.displayname + weapon.namemodifier; weapon.unavailabledetails = [~Unavailable (Time Skip)~]; weapon.animate(~flashandshake~);}},Mulligan,COUNTDOWN,12,PINK,halfcountdown,noeffect,,_dodge,0,YES,NO,excludefromrandomlists|cannotsteal,,,,,,,,,,,,
Ultimate Spell,Do 8 damage|Inflict every status,1,attack(1); var _phases = [{st: POISON[;] c: ~PURPLE~}[;] {st: FIRE[;] c: ~RED~}[;] {st: SHOCK[;] c: ~YELLOW~}[;] {st: ICE[;] c: ~BRIGHTCYAN~}[;] {st: WEAKEN[;] c: ~ORANGE~}[;] {st: CURSE[;] c: ~PURPLE~}[;] {st: ~mqencase~[;] c: ~GREEN~}[;] {st: LOCK[;] c: ~GRAY~}]; var phases = []; for (i in 0...(1 + getstatusself(FURY))) phases = phases.concat(_phases); removestatusself(FURY[;] ALL); if (!simulation) {inflict(phases[0].st); sfx(~_~ + phases[0].st.toLowerCase()[;] ~~[;] 0.2); for (i in 1...phases.length) {runscript(~megaquest/delaycall~[;] [function (args) {var eq = runscript(~megaquest/createequipment~[;] [e.name[;] e.upgraded[;] e.weakened[;] e.x[;] 720[;] self[;] true]); eq.changecolour(args[1]); eq.script = ~attack(1); inflict(\~~ + args[0] + ~\~); sfx(\~_~ + args[0].toLowerCase() + ~\~[;] \~\~[;] 0.2);~; runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]); eq.remainingcountdown = args[2];}[;] (i - 1) * 0.5[;] phases[i].st[;] phases[i].c[;] e.maxcountdown / phases.length * (i + 1)]);}} else {for (i in 1...phases.length) {attack(1); inflict(phases[i].st);}},Glitter Bomb,COUNTDOWN,24,PURPLE,threequartercountdown,change_power,,_magic,0,NO,NO,,1,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Ultimate Spell_downgraded,Do 4 damage|Inflict some statuses,1,attack(1); var _phases = shuffle([{st: FIRE[;] c: ~RED~}[;] {st: SHOCK[;] c: ~YELLOW~}[;] {st: ICE[;] c: ~BRIGHTCYAN~}[;] {st: WEAKEN[;] c: ~ORANGE~}[;] {st: CURSE[;] c: ~PURPLE~}[;] {st: ~mqencase~[;] c: ~GREEN~}[;] {st: LOCK[;] c: ~GRAY~}]); var phases = [{st: POISON[;] c: ~PURPLE~}]; for (i in 0...3) phases.push(_phases.pop()); var truephases = []; for (i in 0...(1 + getstatusself(FURY))) truephases = truephases.concat(phases); phases = truephases.copy(); removestatusself(FURY[;] ALL); if (!simulation) {inflict(phases[0].st); sfx(~_~ + phases[0].st.toLowerCase()[;] ~~[;] 0.2); for (i in 1...phases.length) {runscript(~megaquest/delaycall~[;] [function (args) {var eq = runscript(~megaquest/createequipment~[;] [e.name[;] e.upgraded[;] e.weakened[;] e.x[;] 720[;] self[;] true]); eq.changecolour(args[1]); eq.script = ~attack(1); inflict(\~~ + args[0] + ~\~); sfx(\~_~ + args[0].toLowerCase() + ~\~[;] \~\~[;] 0.2);~; runscript(~megaquest/snap~[;] [eq[;] self[;] target[;] false]); eq.remainingcountdown = args[2];}[;] (i - 1) * 0.5[;] phases[i].st[;] phases[i].c[;] e.maxcountdown / phases.length * (i + 1)]);}} else {for (i in 1...phases.length) {attack(1); inflict(phases[i].st);}},Glitter Bomb,COUNTDOWN,24,PURPLE,,,,_magic,0,NO,NO,,1,,,,,,,,delay(1.0);,,e.preventdefault = true; e.maintainfury = true;,
Light Rapier,Do [sword]<d6> damage[;] +1|use on odd [gray]([recycle]<evar:rapier_reuses>/1 left),2,attack(d); sfxdamage(target[;] d); if (simulation && ((d % 2) == 1)) bonus(100);,Plasma Gun,MAX5,,RED,change_power,change_power,,_metals,0,NO,NO,hidereuseable,,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,e.setvar(~rapier_reuses~[;] 1); e.reuseable = 0; e.usesleft = 0;,,,,e.reuseable = 0; e.usesleft = 0;,if ((d % 2) == 1 && e.getvar(~rapier_reuses~) > 0) {e.reuseable = 1; e.usesleft = 2; sfx(~_recycle~[;] ~~[;] 0.2); e.setvar(~rapier_reuses~[;] e.getvar(~rapier_reuses~) - 1);},,,
