Name,Displayed As,Symbol,Description,Stacks?,Remove at End Turn?,Remove at Start Turn?,Invisible?,Blocked by Reduce?,Script: When inflicted,Script: On any status infliction,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: After Combat,Script: On damage inflicted,Script: On damage taken,Script: On status remove
mqencase,Encase,mqencase,Temporarily makes random equipment much harder to play.,YES,YES,NO,NO,YES,,,,if (status.value > 0) sfx(~_mqencase~); var encaseDataArray = []; var vulnerableEquipment = []; for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.shockedsetting == 0 && eq.ready && eq.active && eq.availablethisturn) vulnerableEquipment.push(eq); vulnerableEquipment = shuffle(vulnerableEquipment); for (i in 0...status.value) {if (vulnerableEquipment.length <= 0) break; var eq = vulnerableEquipment.pop(); var newslots = []; for (slot in eq.getslots()) switch (slot) {case ~NORMAL~ | ~MIN1~ | ~MIN2~ | ~MIN3~ | ~MIN4~ | ~MIN5~ | ~EVEN~: newslots.push(~REQUIRE6~); case ~MAX5~ | ~RANGE25~ | ~RANGE35~ | ~RANGE45~ | ~ODD~: newslots.push(~REQUIRE5~); case ~MAX4~ | ~RANGE24~ | ~RANGE34~: newslots.push(~REQUIRE4~); case ~MAX3~ | ~RANGE23~: newslots.push(~REQUIRE3~); case ~MAX2~: newslots.push(~REQUIRE2~); case ~REQUIRE6~ | ~REQUIRE5~ | ~REQUIRE4~ | ~REQUIRE3~ | ~REQUIRE2~ | ~REQUIRE1~ | ~MAX1~: {newslots.push(slot); newslots.push(slot);} case ~DOUBLES~: {newslots.push(~REQUIRE6~); newslots.push(~REQUIRE6~);} default: newslots.push(slot);} var encaseDataCurrent = {e: eq[;] originalslots: eq.getslots()[;] originalcountdown: eq.countdown[;] originalmaxcountdown: eq.maxcountdown[;] originalremainingcountdown: eq.remainingcountdown}; encaseDataArray.push(encaseDataCurrent); eq.changeslots(newslots); if (encaseDataCurrent.originalcountdown > 0) {eq.countdown = encaseDataCurrent.originalcountdown * 2; eq.maxcountdown = encaseDataCurrent.originalmaxcountdown * 2; eq.remainingcountdown = eq.maxcountdown;} eq.animate(~flashandshake~); runscript(~megaquest/textparticle~[;] [eq[;] ~[mqencase] Encase!~[;] 0x7FFFC5]);} self.setvar(~mqencase~[;] encaseDataArray);,,,if (self.getvar(~mqencase~).length != null) for (encaseData in self.getvar(~mqencase~)) {encaseData.e.changeslots(encaseData.originalslots); encaseData.e.countdown = encaseData.originalcountdown; encaseData.e.maxcountdown = encaseData.originalmaxcountdown; if (encaseData.e.remainingcountdown > encaseData.originalremainingcountdown) encaseData.e.remainingcountdown = encaseData.originalremainingcountdown;} self.setvar(~mqencase~[;] 0);,,,,
alternate_mqencase,Encase?,mqencase,Temporarily disables random equipment.|Deal damage to unlock encased equipment.,YES,NO,NO,NO,YES,,,,self.setvar(~alternate_mqencase_damage~[;] status.value); if (status.value > 0) sfx(~_mqencase~); var vulnerableEquipment = []; for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.shockedsetting == 0 && eq.ready && eq.active && eq.availablethisturn) vulnerableEquipment.push(eq); vulnerableEquipment = shuffle(vulnerableEquipment); for (i in 0...1) {if (vulnerableEquipment.length <= 0) break; var eq = vulnerableEquipment.pop(); eq.availablethisturn = false; eq.unavailabletext = eq.displayname + eq.namemodifier; eq.unavailabledetails = [~Do [sword]~ + self.getvar(~alternate_mqencase_damage~) + ~ damage~[;] ~to release encasement~]; eq.setvar(~alternate_mqencase~[;] 1); eq.animate(~flashandshake~); runscript(~megaquest/textparticle~[;] [eq[;] ~[mqencase] Encase!~[;] 0x7FFFC5]);},,,for (eq in self.equipment) if (eq.getvar(~alternate_mqencase~) > 0) eq.setvar(~alternate_mqencase~[;] 0);,,if (self.getvar(~mqmyturn~) == 1) {if (self.getvar(~alternate_mqencase_damage~) > 0) {self.setvar(~alternate_mqencase_damage~[;] self.getvar(~alternate_mqencase_damage~) - dmg); for (eq in self.equipment) if (eq.getvar(~alternate_mqencase~) > 0) {eq.unavailabledetails = [~Do [sword]~ + self.getvar(~alternate_mqencase_damage~) + ~ damage~[;] ~to release encasement~]; eq.animate(~flashandshake~);} if (self.getvar(~alternate_mqencase_damage~) <= 0) {self.setvar(~alternate_mqencase_damage~[;] 0); for (eq in self.equipment) if (eq.getvar(~alternate_mqencase~) > 0) {eq.setvar(~alternate_mqencase~[;] 0); eq.availablethisturn = true; eq.animate(~flashandshake~);} sfx(~_mqencasebreak~);}} runscript(~megaquest/delaycall~[;] [function (args) {args[0](~mqencase~[;] ALL); if (args[2] > 0) args[1](~mqencase~[;] args[2]);}[;] 0[;] removestatusself[;] inflictself[;] self.getvar(~alternate_mqencase_damage~)]);},,
mqcoatingfire,Hellsteel_Coating,mqcoatingfire,Inflict [fire]burn with each attack this turn.,NO,YES,NO,NO,NO,,,,,,,,,inflict(FIRE); sfx(~_fire~[;] ~~[;] 0.2);,,
mqcoatingice,Moonstone_Coating,mqcoatingice,Inflict [ice]freeze with each attack this turn.,NO,YES,NO,NO,NO,,,,,,,,,inflict(ICE); sfx(~_ice~[;] ~~[;] 0.2);,,
mqcoatingheal,Lifesteel_Coating,mqcoatingheal,Recover [heal]1 health with each attack this turn.,NO,YES,NO,NO,NO,,,,,,,,,attackself(-1); sfx(~_heal~[;] ~~[;] 0.2);,,
mqghastlyarmor,mqghastlyarmor,mqghastlyarmor,(should not appear),NO,NO,NO,YES,NO,,,,,,,,,if (self.getvar(~mqmyturn~) == 1) {if (self.equipment.length > 0) for (eq in self.equipment) if (eq.name == ~Ghastly Armor~ && eq.ready && eq.active && eq.namemodifier != ~-~) runscript(~megaquest/reducecountdown~[;] [eq[;] eq.namemodifier != ~+~ ? 4 : 5]);},,
mqwolfpuppyremix,mqwolfpuppyremix,sword,(should not appear),NO,NO,NO,YES,NO,,,,,,,,,if (dmg <= 4) {if (target.getvar(~mqwolfpuppyremix_ignore~) == 0) {target.setvar(~mqwolfpuppyremix_ignore~[;] 1); attack(dmg);} else target.setvar(~mqwolfpuppyremix_ignore~[;] 0);},,
mqgotchaused,mqgotchaused,sword,(should not appear),NO,NO,NO,YES,NO,,,,,,,,,,,
mqharpoonitemsused,mqharpoonitemsused,sword,(should not appear),YES,NO,NO,YES,NO,,,,,,,,,,,
mqcleaningservicesused,mqcleaningservicesused,sword,(should not appear),YES,NO,NO,YES,NO,,,,,,,,,,,
