Changed;Fighter;String;String_ru;
;Bestiary questions - Baby Squid - I completed a challenge?;No, silly! Something went wrong with the mod and|now you see this text, which shouldn't be possible!||Please, report this bug to the mod developer,|giving all details about how you encountered it!;Нет, глупышка! Что-то пошло не так в моде и|теперь ты видишь этот текст, что не|должно происходить!||Пожалуйста, расскажи разработчику мода об этом|баге, описывая все детали о том, как он возник!;
;Snek;Hey, I'm training! Could you at leasssst|let me win for oncsssse?;Эй, я тренируюсь! Можешшшшь поддатьсссся хоть расссс?;
;Snek;Do you really want to win thissss bad? It'ssss not|easy for ussss minions too, you know?||I bet you ssssleep more than ussss!|We're on minion training nearly all day!;Да ты помешалсссся на победе! Нам, сссслугам,|тоже плохо приходитсссся, ессссли что!||Сссспорю, что ты сссспишь больше, чем мы!|У насссс курссссы по подготовке сссслуг почти целый день!;
;Snek;Go away! I don't want to ssssee you!||(Ssssssss... keep your head up!)||(One day you will leave this awful playsssse...|Be patient, Snek, everything will be fine...);Сссс гласссс моих уйди!||(Сссссссс... не вешай носссс!)||(Однажды ты сбежишь из этого скверного местечка...|Будь спокойна, Змейка, всё будет хорошо...);
;Snek;Wait... we are free? ARE YOU SSSSERIOUSSSS?!||Why did NOBODY tell me about that?! All thissss|time I could have been lying in the ssssun and|having a great time!||Yet I'm here trying to ssssurvive in this messss of a gameshow!;Погоди... мы ссссвободны? ТЫ ССССЕРЬЁЗНО?!||Почему НИКТО мне об этом не ссссказал?! Вссссё это время|я мог лежать на ссссолнышке и насссслаждаться жизнью!||А я тут из посссследних ссссил выжить пытаюссссь!;
;Lumberjack;A man with a talking axe, not something you'd expect...||*...together they create a haunting poetic effect, wooOOo...*;Мужик с говорящим топором, странное зрелище...||*...вместе поэтизмом они отменно блещут, уууУУу...*;
;Lumberjack;You win and I lose, these things never change...||*...and the fact we're all trapped in this deceiving cage, woOoOoo...*;Ты выиграл, я проиграл, факт не изменишь...||*...как и то, что мы заперты в клетке на вечность, ууУуУуу...*;
;Lumberjack;The nights full of nightmares we don't need...||*...that is what we get for our greed, boOhOohoo...*;Кошмарные ночи я не люблю...||*...вот что получили за жадность свою, кхуукхуукхуу...*;
;Lumberjack;I'm free from the dungeon, but not from the axe...||*...in fact, i'm happy with that if you ask, hoohoohooo...*;Свободен от подземелий, но не от топора...||*...для меня это радость, а для него - беда, уххуухуухууу...*;
;Rocket Rider;Woohoohoo! That was FUN!|I'm feeling more alive than ever!;Ууухуухуу! Это было ВЕСЕЛО!|Чувствую себя живее чем когда-либо раньше!;
;Rocket Rider;I lost? Hah, do I look like I want to win?!|I have a ROCKET and that's the only thing I ever needed!;Проиграл? Ха, я выгляжу как кто-то, кому важна победа?|У меня есть РАКЕТА и это всё, о чём я когда либо мечтал!;
;Rocket Rider;You broke it! YOU BROKE THE ROCKET!!|They won't give me another one!||You better stay away from me or|you'll share its fate!;Ты сломал её! ТЫ СЛОМАЛ РАКЕТУ!!|Они мне не дадут другую!||Лучше держись от меня подальше, иначе|разделишь её судьбу!;
